state,acc_length,area_code,intl_plan,vmail_plan,num_vm_msgs,ttl_day_mins,ttl_day_calls,ttl_day_charge,ttl_eve_mins,ttl_eve_calls,ttl_eve_charge,ttl_ngt_mins,ttl_ngt_calls,ttl_ngt_charge,ttl_intl_mins,ttl_intl_calls,ttl_intl_charge,cust_service_calls,churn,total_calls,total_mins,total_charge,day_call_ratio,intl_ratio
KS,128,415,no,yes,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,False,303,717.2,75.56,0.36303630363036304,0.013943112102621304
OH,107,415,no,yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,False,332,625.2,59.24000000000001,0.3704819277108434,0.021912987843889953
NJ,137,415,no,no,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,False,333,539.4000000000001,62.290000000000006,0.34234234234234234,0.022617723396366328
OH,84,408,yes,no,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,False,255,564.8,66.8,0.2784313725490196,0.011685552407932011
OK,75,415,yes,no,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,False,359,512.0,52.089999999999996,0.3147632311977716,0.0197265625
AL,118,510,yes,no,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,False,323,654.1999999999999,67.61,0.30340557275541796,0.00963008254356466
MA,121,510,no,yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,False,321,786.8000000000001,78.31,0.27414330218068533,0.009532282663955262
MO,147,415,yes,no,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,False,275,479.00000000000006,46.900000000000006,0.2872727272727273,0.014822546972860123
LA,117,408,no,no,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,False,271,760.6000000000001,73.32,0.35793357933579334,0.011438338154088875
WV,141,415,yes,yes,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,False,297,818.2,80.53999999999999,0.2828282828282828,0.013688584698117817
IN,65,415,no,no,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,True,337,579.1000000000001,54.2,0.4065281899109792,0.021930581937489202
RI,74,415,no,no,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,False,374,556.2,57.08,0.339572192513369,0.016361021215390147
IA,168,408,no,no,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,False,297,386.0,40.190000000000005,0.32323232323232326,0.029015544041450774
MT,95,510,no,no,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,False,283,608.8,59.64,0.31095406360424027,0.02020367936925099
IA,62,415,no,no,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,False,251,644.0,59.309999999999995,0.2788844621513944,0.020341614906832298
NY,161,415,no,no,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,True,301,816.7,92.29,0.22259136212624583,0.006611975021427697
ID,85,408,no,yes,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,False,308,580.3999999999999,65.02,0.4512987012987013,0.023776705720192977
VT,93,510,no,no,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,False,349,546.6,58.989999999999995,0.32664756446991405,0.014818880351262349
VA,76,510,no,yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,False,244,578.2,60.50000000000001,0.27049180327868855,0.017295053614666205
TX,73,415,no,no,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,False,254,589.7,63.9,0.3543307086614173,0.022045107681872136
FL,147,415,no,no,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,False,347,614.1999999999999,59.0,0.3371757925072046,0.017258222077499188
CO,77,408,no,no,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,True,280,447.59999999999997,36.019999999999996,0.31785714285714284,0.012734584450402146
AZ,130,415,no,no,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,False,308,447.20000000000005,48.06,0.36363636363636365,0.0212432915921288
SC,111,415,no,no,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,False,316,445.0,41.05,0.3259493670886076,0.017303370786516854
VA,132,510,no,no,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,False,275,573.5999999999999,48.08,0.31272727272727274,0.017956764295676435
NE,174,415,no,no,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,False,308,667.6,60.15,0.24675324675324675,0.02321749550629119
WY,57,408,no,yes,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,False,345,596.3,63.24,0.3333333333333333,0.01593157806473252
MT,54,408,no,no,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,False,245,406.59999999999997,44.61,0.2979591836734694,0.03615346778160354
MO,20,415,no,no,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,False,301,636.0,64.12,0.36212624584717606,0.00990566037735849
HI,49,510,no,no,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,False,317,524.1999999999999,49.6,0.36908517350157727,0.021175123998473867
IL,142,415,no,no,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,False,312,486.2,41.14,0.30448717948717946,0.029206088029617442
NH,75,510,no,no,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,False,315,684.0999999999999,69.42999999999999,0.3333333333333333,0.015056278321882768
LA,172,408,no,no,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,False,324,549.1,55.29,0.3734567901234568,0.022946639956292113
AZ,12,408,no,no,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,True,330,794.0,79.67999999999999,0.3575757575757576,0.014861460957178841
OK,57,408,no,yes,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,False,289,593.5999999999999,58.49,0.32525951557093424,0.01398247978436658
GA,72,415,no,yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,False,259,604.8000000000001,66.72,0.3088803088803089,0.024305555555555552
AK,36,408,no,yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,False,323,452.6,48.42,0.39628482972136225,0.032037118868758284
MA,78,415,no,no,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,False,293,592.3,54.2,0.21843003412969283,0.01688333614722269
AK,136,415,yes,yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,False,318,503.7,58.03,0.3333333333333333,0.02084574151280524
NJ,149,408,no,no,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,False,303,611.6,58.44,0.3102310231023102,0.01814911706998038
GA,98,408,no,no,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,False,324,490.3,46.63999999999999,0.3148148148148148,0.019171935549663472
MD,135,408,yes,yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,True,285,513.8,56.199999999999996,0.2982456140350877,0.02841572596340989
AR,34,510,no,no,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,False,262,728.5,61.92999999999999,0.31297709923664124,0.013726835964310227
ID,160,415,no,no,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,False,283,438.8,39.15,0.27208480565371024,0.02096627164995442
WI,64,510,no,no,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,False,274,648.6,58.260000000000005,0.24452554744525548,0.005396238051187172
OR,59,408,no,yes,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,False,310,505.5,48.3,0.31290322580645163,0.016815034619188922
MI,65,415,no,no,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,False,365,521.8,59.36000000000001,0.3287671232876712,0.025297048677654276
DE,142,408,no,no,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,False,339,571.1999999999999,56.129999999999995,0.39233038348082594,0.012955182072829134
ID,119,415,no,no,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,True,325,542.3999999999999,55.53,0.3507692307692308,0.01622418879056048
WY,97,415,no,yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,False,275,432.0,47.25,0.4909090909090909,0.02546296296296296
IA,52,408,no,no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,False,296,706.3,68.32,0.36486486486486486,0.011043465949313323
IN,60,408,no,no,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,False,304,687.5,68.49000000000001,0.1875,0.00989090909090909
VA,10,408,no,no,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,False,241,670.4999999999999,63.620000000000005,0.46473029045643155,0.01700223713646533
